RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4,Epoch_5,Epoch_6,Epoch_7,Epoch_8,Epoch_9,Epoch_10,Epoch_11,Epoch_12,Epoch_13,Epoch_14
Run_0,64.77857,68.62857,69.54047,69.54047,69.54047,69.54047,69.54047,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238,73.95238
Run_1,60.01667,60.01667,61.41667,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857,68.62857
Run_2,26.33334,66.87857,66.87857,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048,69.19048
Run_3,75.35239,75.35239,75.35239,76.40238,76.40238,76.40238,76.40238,76.40238,76.40238,76.40238,76.75239,76.75239,76.75239,76.75239,76.75239
Run_4,65.82858,65.82858,69.89047,75.70238,75.70238,75.70238,75.70238,76.05238,76.05238,76.05238,76.05238,84.17619,84.17619,84.17619,84.17619
