RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4
Run_0,90.2,90.2,90.2,90.2,90.2
Run_1,86,88.45,88.45,89.85,90.9
Run_2,86.35,87.75,89.15,89.15,89.85
Run_3,91.6,91.6,91.6,91.6,91.6
Run_4,90.9,90.9,90.9,90.9,90.9
