RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4,Epoch_5,Epoch_6,Epoch_7,Epoch_8,Epoch_9,Epoch_10,Epoch_11,Epoch_12,Epoch_13,Epoch_14
Run_0,65.12857,70.59048,73.95238,73.95238,73.95238,73.95238,76.05238,76.05238,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239
Run_1,75.35239,75.35239,75.35239,75.35239,75.35239,75.70238,75.70238,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619,83.47619
Run_2,83.47619,83.47619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.17619,84.87619,84.87619,84.87619
Run_3,74.30238,74.65238,74.65238,76.05238,76.40238,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239,76.75239
Run_4,68.62857,75.70238,75.70238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238,76.05238
