RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4
Run_0,88.45,90.9,90.9,91.25,91.25
Run_1,88.8,89.5,90.2,90.2,90.2
Run_2,87.4,89.15,89.15,89.85,90.2
Run_3,89.85,90.2,90.2,90.2,90.2
Run_4,89.5,89.5,89.85,89.85,90.55
