RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4
Run_0,86.7,88.8,89.85,90.2,90.2
Run_1,88.1,89.5,89.5,89.85,90.2
Run_2,87.05,88.45,89.15,89.85,89.85
Run_3,87.4,89.15,90.9,90.9,90.9
Run_4,88.8,90.2,90.2,90.2,90.2
