RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4
Run_0,87.75,89.15,89.15,89.15,89.85
Run_1,88.8,88.8,88.8,88.8,89.85
Run_2,87.4,88.8,89.85,90.2,90.2
Run_3,87.05,89.15,89.15,89.5,89.85
Run_4,86.35,87.75,89.5,89.5,89.85
