RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4,Epoch_5,Epoch_6,Epoch_7,Epoch_8,Epoch_9,Epoch_10,Epoch_11,Epoch_12,Epoch_13,Epoch_14,Epoch_15,Epoch_16,Epoch_17,Epoch_18,Epoch_19
Run_0,89.15,90.2,90.55,91.25,91.25,91.25,91.25,91.95,91.95,91.95,91.95,91.95,91.95,92.3,92.3,93,93,93,93,93
Run_1,89.15,89.85,89.85,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.25,91.6,91.6,91.95,92.3,92.3,93,93,93,93
Run_2,88.8,89.85,90.9,90.9,90.9,91.25,91.95,91.95,91.95,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3
Run_3,88.8,89.85,90.2,90.2,90.55,90.9,91.25,91.6,91.6,91.95,91.95,91.95,91.95,91.95,91.95,91.95,92.65,92.65,92.65,92.65
Run_4,90.9,90.9,90.9,90.9,91.25,91.25,91.25,91.25,91.25,91.25,91.95,91.95,91.95,91.95,91.95,91.95,91.95,92.3,92.3,92.3
