RunID,Epoch_0,Epoch_1,Epoch_2,Epoch_3,Epoch_4
Run_0,87.75,88.45,89.85,89.85,89.85
Run_1,90.9,90.9,90.9,90.9,90.9
Run_2,87.75,91.95,91.95,91.95,91.95
Run_3,86,88.1,91.25,91.25,91.25
Run_4,87.75,89.5,89.5,90.2,90.2
